revision	round	side	workload	batch_index	latency_ns
V1	1	1	sparse_edit	51	99820
V1	1	1	sparse_edit	52	101912
V1	1	1	sparse_edit	53	101383
V1	1	1	sparse_edit	54	100379
V1	1	1	sparse_edit	55	102333
V1	1	1	sparse_edit	56	101604
V1	1	1	sparse_edit	57	100145
V1	1	1	sparse_edit	58	99437
V1	1	1	sparse_edit	59	100625
V1	1	1	sparse_edit	60	100366
V1	1	1	sparse_edit	61	100079
V1	1	1	sparse_edit	62	101166
V1	1	1	sparse_edit	63	103658
V1	1	1	sparse_edit	64	101425
V1	1	1	sparse_edit	65	99895
V1	1	1	sparse_edit	66	99437
V1	1	1	sparse_edit	67	100579
V1	1	1	sparse_edit	68	100525
V1	1	1	sparse_edit	69	100345
V1	1	1	sparse_edit	70	100641
V1	1	1	sparse_edit	71	99533
V1	1	1	sparse_edit	72	99145
V1	1	1	sparse_edit	73	102100
V1	1	1	sparse_edit	74	100300
V1	1	1	sparse_edit	75	99566
V1	1	1	sparse_edit	76	99129
V1	1	1	sparse_edit	77	99016
V1	1	1	sparse_edit	78	99866
V1	1	1	sparse_edit	79	100604
V1	1	1	sparse_edit	80	100029
V1	1	1	sparse_edit	81	99458
V1	1	1	sparse_edit	82	100225
V1	1	1	sparse_edit	83	101458
V1	1	1	sparse_edit	84	100300
V1	1	1	sparse_edit	85	100979
V1	1	1	sparse_edit	86	101083
V1	1	1	sparse_edit	87	100950
V1	1	1	sparse_edit	88	100950
V1	1	1	sparse_edit	89	101279
V1	1	1	sparse_edit	90	100966
V1	1	1	sparse_edit	91	100208
V1	1	1	sparse_edit	92	100329
V1	1	1	sparse_edit	93	100312
V1	1	1	sparse_edit	94	99562
V1	1	1	sparse_edit	95	99570
V1	1	1	sparse_edit	96	99433
V1	1	1	sparse_edit	97	99295
V1	1	1	sparse_edit	98	99529
V1	1	1	sparse_edit	99	99037
V1	1	1	sparse_edit	100	100250
V1	1	1	full_redraw	1	1326600
V1	1	1	full_redraw	2	1316275
V1	1	1	full_redraw	3	1319587
V1	1	1	full_redraw	4	1330812
V1	1	1	full_redraw	5	1349891
V1	1	1	full_redraw	6	1356658
V1	1	1	full_redraw	7	1341641
V1	1	1	full_redraw	8	1328216
V1	1	1	full_redraw	9	1316566
V1	1	1	full_redraw	10	1314641
V1	1	1	full_redraw	11	1323637
V1	1	1	full_redraw	12	1310625
V1	1	1	full_redraw	13	1311800
V1	1	1	full_redraw	14	1335683
V1	1	1	full_redraw	15	1378733
V1	1	1	full_redraw	16	1369966
V1	1	1	full_redraw	17	1383129
V1	1	1	full_redraw	18	1379445
V1	1	1	full_redraw	19	1352279
V1	1	1	full_redraw	20	1375933
V1	1	1	full_redraw	21	1353133
V1	1	1	full_redraw	22	1365491
V1	1	1	full_redraw	23	1361795
V1	1	1	full_redraw	24	1345504
V1	1	1	full_redraw	25	1324333
V1	1	1	full_redraw	26	1336616
V1	1	1	full_redraw	27	1319883
V1	1	1	full_redraw	28	1309975
V1	1	1	full_redraw	29	1331008
V1	1	1	full_redraw	30	1334454
V1	1	1	full_redraw	31	1365675
V1	1	1	full_redraw	32	1357712
V1	1	1	full_redraw	33	1345925
V1	1	1	full_redraw	34	1373387
V1	1	1	full_redraw	35	1320004
V1	1	1	full_redraw	36	1384620
V1	1	1	full_redraw	37	1396675
V1	1	1	full_redraw	38	1351337
V1	1	1	full_redraw	39	1345183
V1	1	1	full_redraw	40	1342908
V1	1	1	full_redraw	41	1342329
V1	1	1	full_redraw	42	1341520
V1	1	1	full_redraw	43	1335891
V1	1	1	full_redraw	44	1337879
V1	1	1	full_redraw	45	1331770
V1	1	1	full_redraw	46	1330366
V1	1	1	full_redraw	47	1341750
V1	1	1	full_redraw	48	1320250
V1	1	1	full_redraw	49	1336591
V1	1	1	full_redraw	50	1343787
V1	1	1	full_redraw	51	1341608
V1	1	1	full_redraw	52	1321316
V1	1	1	full_redraw	53	1356166
V1	1	1	full_redraw	54	1343979
V1	1	1	full_redraw	55	1345741
V1	1	1	full_redraw	56	1344033
V1	1	1	full_redraw	57	1341537
V1	1	1	full_redraw	58	1335645
V1	1	1	full_redraw	59	1345833
V1	1	1	full_redraw	60	1338362
V1	1	1	full_redraw	61	1342433
V1	1	1	full_redraw	62	1335716
V1	1	1	full_redraw	63	1330241
V1	1	1	full_redraw	64	1326112
V1	1	1	full_redraw	65	1342237
V1	1	1	full_redraw	66	1333929
V1	1	1	full_redraw	67	1336804
V1	1	1	full_redraw	68	1328416
V1	1	1	full_redraw	69	1332470
V1	1	1	full_redraw	70	1342512
V1	1	1	full_redraw	71	1354629
V1	1	1	full_redraw	72	1344883
V1	1	1	full_redraw	73	1319158
V1	1	1	full_redraw	74	1352125
V1	1	1	full_redraw	75	1300950
V1	1	1	full_redraw	76	1356858
V1	1	1	full_redraw	77	1344879
V1	1	1	full_redraw	78	1340108
V1	1	1	full_redraw	79	1300437
V1	1	1	full_redraw	80	1333995
V1	1	1	full_redraw	81	1333225
V1	1	1	full_redraw	82	1323562
V1	1	1	full_redraw	83	1316408
V1	1	1	full_redraw	84	1318020
V1	1	1	full_redraw	85	1402454
V1	1	1	full_redraw	86	1391879
V1	1	1	full_redraw	87	1380416
